MEASUREMENT_TIME,VALUE,ID_INPUT,PRIVATE_DATA
39:36.7,OUTLOOK.EXE,0,0
39:42.2,OUTLOOK.EXE,0,0
39:44.7,OUTLOOK.EXE,0,0
39:51.7,OUTLOOK.EXE,0,0
39:54.7,OUTLOOK.EXE,0,0
40:06.7,POWERPNT.EXE,0,0
40:07.2,POWERPNT.EXE,0,0
40:51.2,OUTLOOK.EXE,0,0
42:43.2,OUTLOOK.EXE,0,0
42:45.2,OUTLOOK.EXE,0,0
42:58.2,OUTLOOK.EXE,0,0
43:01.2,OUTLOOK.EXE,0,0
43:11.7,OUTLOOK.EXE,0,0
43:13.2,OUTLOOK.EXE,0,0
43:21.7,OUTLOOK.EXE,0,0
43:24.7,OUTLOOK.EXE,0,0
43:41.7,explorer.exe,0,0
43:44.2,OUTLOOK.EXE,0,0
43:44.7,explorer.exe,0,0
43:49.2,OUTLOOK.EXE,0,0
43:54.2,Teams.exe,0,0
43:54.7,Teams.exe,0,0
43:56.2,OUTLOOK.EXE,0,0
44:52.7,Teams.exe,0,0
45:08.7,OUTLOOK.EXE,0,0
45:11.7,Teams.exe,0,0
45:13.2,OUTLOOK.EXE,0,0
45:49.2,Teams.exe,0,0
46:12.2,Teams.exe,0,0
46:12.7,Teams.exe,0,0
46:13.2,Teams.exe,0,0
48:01.7,OUTLOOK.EXE,0,0
48:19.2,OUTLOOK.EXE,0,0
48:20.2,OUTLOOK.EXE,0,0
48:22.2,OUTLOOK.EXE,0,0
48:33.2,OUTLOOK.EXE,0,0
48:34.2,Teams.exe,0,0
49:34.2,OUTLOOK.EXE,0,0
49:40.7,OUTLOOK.EXE,0,0
49:51.7,OUTLOOK.EXE,0,0
50:07.7,OUTLOOK.EXE,0,0
50:21.7,OUTLOOK.EXE,0,0
50:30.7,Teams.exe,0,0
54:24.2,explorer.exe,0,0
54:26.2,OUTLOOK.EXE,0,0
54:36.7,ShellExperienceHost.exe,0,0
54:37.7,OUTLOOK.EXE,0,0
54:40.2,OUTLOOK.EXE,0,0
54:40.7,OUTLOOK.EXE,0,0
54:48.2,OUTLOOK.EXE,0,0
54:50.2,Teams.exe,0,0
54:52.2,OUTLOOK.EXE,0,0
55:14.7,explorer.exe,0,0
55:32.7,POWERPNT.EXE,0,0
55:43.2,explorer.exe,0,0
55:52.2,Teams.exe,0,0
56:01.2,Teams.exe,0,0
56:01.7,Teams.exe,0,0
56:15.7,POWERPNT.EXE,0,0
56:18.2,Teams.exe,0,0
56:20.7,OUTLOOK.EXE,0,0
56:23.7,explorer.exe,0,0
56:27.2,Teams.exe,0,0
01:10.7,explorer.exe,0,0
01:11.7,OUTLOOK.EXE,0,0
01:47.7,Teams.exe,0,0
01:48.2,OUTLOOK.EXE,0,0
02:25.2,explorer.exe,0,0
02:30.2,POWERPNT.EXE,0,0
02:30.7,POWERPNT.EXE,0,0
02:35.7,chrome.exe,0,0
04:16.7,ShellExperienceHost.exe,0,0
04:17.2,OUTLOOK.EXE,0,0
04:30.7,OUTLOOK.EXE,0,0
04:44.2,OUTLOOK.EXE,0,0
04:46.2,OUTLOOK.EXE,0,0
04:49.7,OUTLOOK.EXE,0,0
04:51.7,OUTLOOK.EXE,0,0
04:54.7,chrome.exe,0,0
04:55.2,chrome.exe,0,0
04:56.2,chrome.exe,0,0
04:58.2,chrome.exe,0,0
18:25.7,chrome.exe,0,0
18:27.7,chrome.exe,0,0
22:07.2,POWERPNT.EXE,0,0
22:13.7,chrome.exe,0,0
39:24.2,LockApp.exe,0,0
39:29.7,chrome.exe,0,0
39:39.2,explorer.exe,0,0
39:40.2,OUTLOOK.EXE,0,0
39:55.2,POWERPNT.EXE,0,0
39:56.2,POWERPNT.EXE,0,0
39:57.7,POWERPNT.EXE,0,0
39:59.7,OUTLOOK.EXE,0,0
40:07.7,OUTLOOK.EXE,0,0
40:15.7,OUTLOOK.EXE,0,0
40:18.7,explorer.exe,0,0
40:25.2,OUTLOOK.EXE,0,0
40:31.7,explorer.exe,0,0
40:32.7,OUTLOOK.EXE,0,0
40:50.7,OUTLOOK.EXE,0,0
42:10.2,OUTLOOK.EXE,0,0
42:13.7,OUTLOOK.EXE,0,0
43:53.7,OUTLOOK.EXE,0,0
44:00.7,OUTLOOK.EXE,0,0
44:02.2,OUTLOOK.EXE,0,0
44:02.7,OUTLOOK.EXE,0,0
44:07.7,chrome.exe,0,0
44:50.2,explorer.exe,0,0
44:55.7,OUTLOOK.EXE,0,0
45:00.2,OUTLOOK.EXE,0,0
45:40.2,OUTLOOK.EXE,0,0
45:40.7,OUTLOOK.EXE,0,0
45:41.7,OUTLOOK.EXE,0,0
45:45.2,POWERPNT.EXE,0,0
45:47.7,explorer.exe,0,0
45:48.7,POWERPNT.EXE,0,0
45:55.2,OUTLOOK.EXE,0,0
46:12.6,OUTLOOK.EXE,0,0
46:13.7,OUTLOOK.EXE,0,0
46:32.2,OUTLOOK.EXE,0,0
46:33.2,OUTLOOK.EXE,0,0
46:34.2,POWERPNT.EXE,0,0
46:35.7,explorer.exe,0,0
46:37.2,OUTLOOK.EXE,0,0
51:02.6,chrome.exe,0,0
