,frequency,look_back,num_nodes,batch_size,accuracy,balanced_accuracy,weighted_f1_score,weighted_precision,weighted_recall
43,1min,6,32,12,0.9642795513373598,0.6552789206903504,0.9645848841505456,0.9648940040652578,0.9642795513373598
44,1min,6,32,18,0.9330457290767903,0.6288278698668658,0.9333582361789308,0.9336735325882008,0.9330457290767903
45,1min,10,8,6,0.9198756691417718,0.533141966195856,0.9199449265271483,0.9200149286155938,0.9198756691417718
46,1min,10,8,12,0.9198756691417718,0.5717942871827703,0.9203538923460934,0.9208955180429443,0.9198756691417718
47,1min,10,8,18,0.920048350889311,0.5782578709988249,0.9207612632761687,0.9215105082177343,0.920048350889311
48,1min,10,16,6,0.9506130202037645,0.5639074469702987,0.9508241547978585,0.9510372902034891,0.9506130202037645
49,1min,10,16,12,0.9198756691417718,0.5800982958113399,0.9200812426507471,0.9202934475632376,0.9198756691417718
50,1min,10,16,18,0.9203937143843895,0.5720957955109126,0.9209551350712861,0.9215795776486194,0.9203937143843895
51,1min,10,32,6,0.9506130202037645,0.6127113284207222,0.9507800658410402,0.9509471953786862,0.9506130202037645
52,1min,10,32,12,0.9198756691417718,0.5590053019393718,0.933634860712431,0.9516570658632945,0.9198756691417718
53,1min,10,32,18,0.921257123122086,0.5780973496982642,0.936776606179735,0.9530297551784503,0.921257123122086
54,5min,3,8,6,0.9179620034542314,0.6344553236059386,0.9358611393083626,0.9546042220067714,0.9179620034542314
55,5min,3,8,12,0.8920552677029361,0.5927736029905343,0.9169343348710032,0.9436095230948791,0.8920552677029361
56,5min,3,8,18,0.8013816925734024,0.571271930687779,0.8179390388146115,0.8993376557418016,0.8013816925734024
57,5min,3,16,6,0.9196891191709845,0.6238199951231608,0.9352085572418511,0.9514327075527697,0.9196891191709845
58,5min,3,16,12,0.917098445595855,0.5699571596663974,0.9346433013029598,0.9530134575308147,0.917098445595855
59,5min,3,16,18,0.8117443868739206,0.680010759674974,0.8782930160673507,0.9594539540548214,0.8117443868739206
60,5min,3,32,6,0.918825561312608,0.6056152477969116,0.9325848947074603,0.9505283986813199,0.918825561312608
61,5min,3,32,12,0.9162348877374784,0.5787980982319014,0.9162348877374784,0.9162348877374784,0.9162348877374784
62,5min,3,32,18,0.9093264248704663,0.5457870650138499,0.917608875705453,0.9260991672138396,0.9093264248704663
63,5min,6,8,6,0.8761904761904762,0.4827354403268517,0.89153046752875,0.9125709497163556,0.8761904761904762
64,5min,6,8,12,0.7904761904761904,0.5577385949148439,0.8602795098019356,0.9472551311872538,0.7904761904761904
